genre
Mannerism (Late Renaissance)
Expressionism
Safavid Period (before 1600)
Impressionism
Romanticism
Rococo
Realism
Conceptual Art
Neo-Minimalism (Neo-Geo)
Art Informel
Cubism
Contemporary Realism
Post-Impressionism
Pop Art
Abstract Expressionism
Street art
Northern Renaissance
Concrete Art (Concretism)
Surrealism
Contemporary
Neo-Expressionism
Soviet Nonconformist Art
Environmental Art (Land art)
Regionalism
Constructivism
Academic Art
Early Renaissance
High Renaissance
Magic Realism
Post-Minimalism
Neoclassicism
Light and Space
Abstract Art
Abbasid Period (750–1258)
Incoherents
Naturalism
Art Nouveau
Chicano art movement
New Realism (American Realism)
Harlem Renaissance (New Negro Movement)
Feminist Art
Modernismo
Symbolism
Junk Art
ns
Op Art
Minimalism
CyberArt
Neo-Impressionism
Modernism
New Generation Sculpture
Kitsch
Arte Povera
Baroque
Classical Period (480 - 323 BC)
Neo-Surrealism
Post-Painterly Abstraction
Nouveau Réalisme
Neo-Dada
Poster Art Realism
Naïve Art (Primitivism)
Precisionism
Art Deco
Socialist Realism
Dutch Golden Age
Futurism
Tonalism
Neo-Pop Art
Relational Art
Performance Art
New Objectivity (Neue Sachlichkeit)
New Image Painting
Orientalism
Aestheticism
Republic of China (1912–1949)
"Photorealism (Super-Realism, Hyper-Realism)"
Neo-Romanticism
Dada
Lettrism
Gothic Art
Neo-Orthodoxism
Muralism
Tachisme
Classical Realism
Stuckism
Neo-Figurative Art
Cubo-Futurism
Spatialism
Kinetic art
Confessional Art
Social Realism
Pictorialism
Metaphysical art
Shōwa period (1926–1989)
Edo period (1603–1867)
Native Art
Neo-Concretism
Proto Renaissance
Outsider art (Art brut)
Fiber Art
Tang Dynasty (618–907)
People's Republic of China (1949-present)
Transavantgarde
Lowbrow Art
Romanesque Art
Arts and Crafts
Yuan Dynasty (1271–1368)
New Ink Art
Provisional Painting (New Casualism)
Suprematism
Pre-Romanesque Art
New European Painting
Young Poland
Avant-garde
Mail Art
Analytical Realism
Fantasy Art
New Culture Movement (1915-1926)
Meiji Period (1868–1912)
De Stijl (Neoplasticism)
Excessivism
Northern Song Dynasty (960–1126)
Korean Informel
Ottoman Period (before 1600)
Taishō period (1912–1926)
Maximalism
Ming Dynasty (1368–1644)
Qing Dynasty (1644–1912)
Transautomatism
Safavid and Qajar Periods (after 1600)
Muromachi period (1392–1573)
Orphism (Simultanism)
Dansaekhwa (Korean Monochrome Painting)
Vorticism
Five Dynasties and Ten Kingdoms (907–960)
Southern Song Dynasty (1127–1279)
Mughal Period (after 1600)
Pittura Colta
Ottoman Period (after 1600)
Viennese Actionism
Ilkhanid Period (1256–1353)
Abstract Illusionism
Funk Art
Joseon Dynasty
Purism
Existential Art
Secession
Sots Art
Black Arts Movement
Timurid Period (c.1370–1507)
Ero guro
Indian Space Painting
Digital Art
P&D (Pattern and Decoration)
